Time,Voltage
,
0,0.034179688
,
2.974,1.372070313
,
2.984,1.391601563
,
2.994,1.38671875
,
3.003,1.396484375
,
3.013,1.396484375
,
3.023,1.40625
,
3.033,1.40625
,
3.043,1.40625
,
3.053,1.40625
,
3.063,1.416015625
,
3.072,1.416015625
,
3.082,1.42578125
,
3.092,1.42578125
,
3.102,1.430664063
,
3.112,1.430664063
,
3.122,1.435546875
,
3.132,1.430664063
,
3.141,1.4453125
,
3.151,1.4453125
,
3.161,1.459960938
,
3.171,1.459960938
,
3.181,1.459960938
,
3.191,1.459960938
,
3.201,1.469726563
,
3.21,1.469726563
,
3.22,1.474609375
,
3.23,1.474609375
,
3.24,1.46484375
,
3.25,1.489257813
,
3.26,1.489257813
,
3.27,1.494140625
,
3.279,1.499023438
,
3.289,1.50390625
,
3.299,1.508789063
,
3.309,1.50390625
,
3.319,1.513671875
,
3.329,1.518554688
,
3.339,1.518554688
,
3.348,1.528320313
,
3.358,1.528320313
,
3.368,1.538085938
,
3.378,1.533203125
,
3.388,1.54296875
,
3.398,1.54296875
,
3.408,1.552734375
,
3.418,1.552734375
,
3.427,1.54296875
,
3.437,1.5625
,
3.447,1.567382813
,
3.457,1.567382813
,
3.467,1.572265625
,
3.477,1.572265625
,
3.487,1.577148438
,
3.497,1.586914063
,
3.506,1.58203125
,
3.516,1.591796875
,
3.526,1.586914063
,
3.536,1.596679688
,
3.546,1.6015625
,
3.556,1.606445313
,
3.566,1.611328125
,
3.575,1.616210938
,
3.585,1.616210938
,
3.595,1.616210938
,
3.605,1.625976563
,
3.615,1.625976563
,
3.625,1.635742188
,
3.635,1.630859375
,
3.645,1.640625
,
3.654,1.635742188
,
3.664,1.650390625
,
3.674,1.645507813
,
3.684,1.655273438
,
3.694,1.645507813
,
3.704,1.66015625
,
3.714,1.66015625
,
3.723,1.669921875
,
3.733,1.665039063
,
3.743,1.674804688
,
3.753,1.66015625
,
3.763,1.6796875
,
3.773,1.684570313
,
3.783,1.684570313
,
3.793,1.684570313
,
3.802,1.694335938
,
3.812,1.689453125
,
3.822,1.694335938
,
3.832,1.704101563
,
3.842,1.708984375
,
3.852,1.708984375
,
3.862,1.713867188
,
3.871,1.713867188
,
3.881,1.723632813
,
3.891,1.723632813
,
3.901,1.728515625
,
3.911,1.728515625
,
3.921,1.73828125
,
3.931,1.733398438
,
3.94,1.743164063
,
3.95,1.743164063
,
3.96,1.752929688
,
3.97,1.752929688
,
3.98,1.762695313
,
3.99,1.762695313
,
4,1.767578125
,
4.009,1.772460938
,
4.019,1.77734375
,
4.029,1.77734375
,
4.039,1.782226563
,
4.049,1.782226563
,
4.058,1.791992188
,
4.068,1.796875
,
4.078,1.796875
,
4.088,1.801757813
,
4.098,1.806640625
,
4.107,1.806640625
,
4.117,1.81640625
,
4.127,1.81640625
,
4.137,1.81640625
,
4.147,1.81640625
,
4.156,1.826171875
,
4.166,1.826171875
,
4.176,1.831054688
,
4.186,1.8359375
,
4.195,1.840820313
,
4.205,1.840820313
,
4.215,1.840820313
,
4.225,1.850585938
,
4.235,1.850585938
,
4.245,1.85546875
,
4.255,1.85546875
,
4.265,1.860351563
,
4.275,1.865234375
,
4.285,1.870117188
,
4.294,1.865234375
,
4.304,1.875
,
4.314,1.875
,
4.324,1.884765625
,
4.334,1.884765625
,
4.344,1.875
,
4.354,1.889648438
,
4.364,1.89453125
,
4.374,1.89453125
,
4.384,1.904296875
,
4.393,1.899414063
,
4.403,1.904296875
,
4.413,1.904296875
,
4.423,1.9140625
,
4.433,1.918945313
,
4.443,1.909179688
,
4.453,1.918945313
,
4.463,1.923828125
,
4.473,1.928710938
,
4.482,1.93359375
,
4.492,1.93359375
,
4.502,1.938476563
,
4.512,1.938476563
,
4.522,1.948242188
,
4.532,1.953125
,
4.542,1.953125
,
4.552,1.953125
,
4.562,1.943359375
,
4.572,1.958007813
,
4.581,1.967773438
,
4.591,1.962890625
,
4.601,1.97265625
,
4.611,1.977539063
,
4.621,1.977539063
,
4.631,1.982421875
,
4.641,1.977539063
,
4.651,1.987304688
,
4.661,1.982421875
,
4.67,2.001953125
,
4.68,2.001953125
,
4.69,2.001953125
,
4.7,2.006835938
,
4.71,2.01171875
,
4.72,2.021484375
,
4.73,2.01171875
,
4.74,2.021484375
,
4.75,2.021484375
,
4.76,2.03125
,
4.77,2.03125
,
4.779,2.041015625
,
4.789,2.041015625
,
4.799,2.045898438
,
4.809,2.05078125
,
4.819,2.036132813
,
4.829,2.05078125
,
4.839,2.055664063
,
4.849,2.055664063
,
4.859,2.065429688
,
4.869,2.0703125
,
4.878,2.0703125
,
4.888,2.075195313
,
4.898,2.080078125
,
4.908,2.084960938
,
4.918,2.080078125
,
4.928,2.08984375
,
4.938,2.08984375
,
4.948,2.094726563
,
4.958,2.08984375
,
4.968,2.099609375
,
4.978,2.104492188
,
4.988,2.109375
,
4.997,2.099609375
,
5.007,2.119140625
,
5.017,2.114257813
,
